position,gsis_id,display_name,rookie_year,college_conference,draft_number,status,team_abbr,height,weight,college_name,years_of_experience,birth_date,team_seq,player_id,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,fumbles_lost
TE,00-0039793,A.J. Barner,2024.0,Big Ten Conference,121.0,ACT,SEA,78.0,251.0,Michigan,0,2002-05-03,,00-0039793,2024,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,30,38,245.0,4,0.0,0.0,136.0,164.0,18.0,11.08664151391713,0,33.639605407380344,1.1957061148059378,0.7484425220474016,2.317468937642088,0.0,48.5,78.5,14,0.07584830339321358,0.0387243735763098,0.0891304347826087,0.1447519539508682,0.06584251545283526,0.21052631578947367,0.0989010989010989,0.10945273631840796,0.13818441562115447,0.09477927552016294,0.48902195608782434,0.06330440953517628,0.0
WR,00-0035676,A.J. Brown,2019.0,Southeastern Conference,51.0,ACT,PHI,72.0,226.0,Mississippi,6,1997-06-30,1.0,00-0035676,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,60.0,1,0.0,0.0,2.0,3.387289606500417,0,52,84,1051.0,8,1.0,0.0,1107.0,465.0,39.0,49.557836943611335,0,16.799956580038877,3.179558291655548,4.661604062628108,8.032460281322997,0.0,165.1,217.1,16,0.1875,0.28391895357784047,0.25326797385620914,0.5083851628622724,0.26567239635995954,0.27586206896551724,0.22033898305084745,0.22815533980582525,0.2707672326627384,0.2677103308810711,2.345982142857143,0.1481769660237247,0.0
WR,00-0035676,A.J. Brown,2019.0,Southeastern Conference,51.0,ACT,PHI,72.0,226.0,Mississippi,6,1997-06-30,1.0,00-0035676,2020,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,70,106,1075.0,11,2.0,1.0,1150.0,432.0,55.0,65.5729433268161,0,13.41790443477446,3.8118234851461072,4.969659119718595,9.196496611522178,1.0,177.5,247.5,14,0.25,0.3281027104136947,0.31952662721893493,0.6374821683309557,0.3291488058787508,0.36666666666666664,0.3089887640449438,0.3173076923076923,0.3479077362727087,0.33665237803633397,2.535377358490566,0.17583869730167526,1.0
WR,00-0035676,A.J. Brown,2019.0,Southeastern Conference,51.0,ACT,PHI,72.0,226.0,Mississippi,6,1997-06-30,1.0,00-0035676,2021,0,2,0.0,0,0.0,0.0,0.0,0,0,42.0,0.0,0.0,-1.2514583478914574,0,0.0,0.0,2,10.0,0,0.0,0.0,1.0,0.552041839924641,0,63,105,869.0,5,0.0,0.0,1218.0,235.0,45.0,33.827210485994684,0,8.96489038855293,3.5990189195336253,5.815964172267095,9.469703299887405,0.0,117.9,180.9,13,0.26119402985074625,0.3908857509627728,0.1733038348082596,0.7044996455463376,0.2887043189368771,0.23809523809523808,0.29411764705882354,0.28735632183908044,0.26339977851605756,0.2785825027685493,2.1616915422885574,0.15815702045812205,0.0
WR,00-0035676,A.J. Brown,2019.0,Southeastern Conference,51.0,ACT,PHI,72.0,226.0,Mississippi,6,1997-06-30,1.0,00-0035676,2022,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,88,145,1496.0,11,2.0,2.0,1750.0,552.0,59.0,55.87002713848922,0,15.649354434773167,4.867588044995716,6.947606886385478,12.164706887963408,0.0,211.60000000000002,299.6,17,0.27052238805970147,0.3939666816749212,0.27151992129857355,0.7209569274294892,0.34280476626947753,0.44,0.30256410256410254,0.3181818181818182,0.39140238313473874,0.36224381301558206,2.791044776119403,0.1849542553060141,2.0
WR,00-0035676,A.J. Brown,2019.0,Southeastern Conference,51.0,ACT,PHI,72.0,226.0,Mississippi,6,1997-06-30,1.0,00-0035676,2023,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,106,158,1456.0,7,2.0,2.0,1853.0,473.0,70.0,65.87283749351666,0,13.48792433472958,5.162450356862419,7.100896350878084,12.714302980908286,0.0,183.60000000000002,289.6,17,0.28063943161634103,0.3825350949628406,0.2648376259798432,0.726987223394784,0.35800344234079173,0.2916666666666667,0.3553299492385787,0.34841628959276016,0.3248350545037292,0.34473608720596677,2.586145648312611,0.19602268881398152,2.0
WR,00-0035676,A.J. Brown,2019.0,Southeastern Conference,51.0,ACT,PHI,72.0,226.0,Mississippi,6,1997-06-30,1.0,00-0035676,2024,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,67,97,1079.0,7,0.0,0.0,1168.0,353.0,51.0,61.81116601604732,0,12.590755524689822,4.401177992859063,6.588092088375764,11.213431451151628,0.0,149.9,216.9,13,0.313915857605178,0.47058823529411764,0.3093777388255916,0.8473443746430611,0.41563944530046226,0.35,0.4112903225806452,0.4027777777777778,0.3828197226502311,0.4025115562403698,3.4919093851132685,0.18729922973299715,0.0
RB,00-0036265,A.J. Dillon,2020.0,Atlantic Coast Conference,62.0,ACT,PHI,73.0,250.0,Boston College,5,1998-05-02,,00-0036265,2020,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,46,242.0,2,0.0,0.0,11.0,9.770090836565942,0,2,2,21.0,0,0.0,0.0,5.0,16.0,1.0,1.8177374967490323,0,17.25,0.06798245614035087,0.028310467672250435,0.12179101158110162,0.0,38.3,40.3,9,0.006779661016949152,0.002182453077258839,0.013686911890504704,0.0119154539872308,0.009214567792891619,0.0,0.008130081300813009,0.006711409395973154,0.004607283896445809,0.007371654234313295,0.0711864406779661,0.04157811113633081,0.0
RB,00-0036265,A.J. Dillon,2020.0,Atlantic Coast Conference,62.0,ACT,PHI,73.0,250.0,Boston College,5,1998-05-02,,00-0036265,2021,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,187,803.0,5,1.0,1.0,50.0,6.161987401777878,0,34,37,313.0,2,1.0,0.0,14.0,310.0,15.0,17.030979303788627,0,-102.36556776556776,1.0736608654540343,0.061729587621716826,1.6537020095162531,0.0,151.6,185.6,17,0.06239460370994941,0.0030581039755351682,0.12863070539419086,0.09603838874535224,0.06915598762704375,0.05128205128205128,0.06382978723404255,0.06204379562043796,0.060219019454547516,0.06558120035804527,0.5278246205733558,0.1108960110896011,1.0
RB,00-0036265,A.J. Dillon,2020.0,Atlantic Coast Conference,62.0,ACT,PHI,73.0,250.0,Boston College,5,1998-05-02,,00-0036265,2022,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,186,770.0,7,0.0,0.0,47.0,2.279668071002535,0,28,43,206.0,0,1.0,0.0,17.0,203.0,9.0,-5.830161560658805,0,9.247619047619047,1.3399736669676352,0.05251005881982601,2.046717541625331,0.0,139.6,167.6,17,0.0763765541740675,0.003796337650736936,0.1009950248756219,0.1176019013816908,0.05295629820051414,0.0,0.04838709677419355,0.04225352112676056,0.02647814910025707,0.042365038560411315,0.36589698046181174,0.1167212201406783,0.0
